Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
A.J. WATSON LTD,BALLYMENA,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
A.K Medical Consultancy Ltd. T/A Cockerton Pharmacy,Darlington,,,Others,,,,, Skilled Worker,Worker (A rating),12-Dec-18,
A.L.O. Physiotherapy Clinic Ltd,London,,,Social Work,,,,, Skilled Worker,Worker (A rating),13-Dec-19,
A.M. Best Europe Rating Service,London,,,Administrative and support,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",15-Feb-21,
A.M. Nomikos & Son (UK) Ltd,London,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),2-Dec-19,
A.M. Qattan Foundation,London,,,Education,,,,," Creative & Sporting, Skilled Worker, Intra-company Routes","Temporary Worker (A rating),Worker (A rating),Worker (A rating)",13-Mar-15,
A.O.K KITCHEN (MARYLEBONE) LIMITED,LONDON,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),10-Sep-21,
A.P.T. Capital,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",31-Dec-20,
A.Q. SKIN SOLUTIONS LIMITED,BURNHAM,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),2-Feb-18,
A.S.I. (Research) Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),7-Jan-20,
A.S.Zanettos & Co. Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
A.Vincent Solicitors Limited,Woolwich,,,Legal,,,,,Skilled Worker,Worker (A rating),2-Sep-21,
A.Williams & Co. (Solicitors),LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),31-Dec-20,
A.Z TECHNICAL LIMITED,TEDDINGTON,,,Social Work,,,,,Skilled Worker,Worker (A rating),12-Mar-21,
A/P Recovery UK Ltd,London,,,Legal,,,,, Skilled Worker,Worker (A rating),15-Jul-20,
A1 Chiro LTD,Dundee,,,Social Work,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
A1 Comms Ltd,Alfreton,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),30-Sep-13,
A1 Double Glazing London Ltd,Essex,,,Construction,,,,,Skilled Worker,Worker (A rating),25-Mar-21,
A10 Networks Limited,Theale,,,Advertising,,,,, Skilled Worker,Worker (A rating),5-Dec-19,
A12 PJ Limited T/A Papa Johns,Nottingham,,,Food & Accomodation,,,,,Skilled Worker X7392M4H6,Worker (A rating),7-Jun-21,
A123 Systems U.K. Limited,Coventry,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),20-Feb-20,
A1F1 Limited,Croydon,,,Social Work,,,,, Skilled Worker,Worker (A rating),27-Mar-18,
A1HOME4U Limited,Coventry,,,Construction,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
A24 Group Ltd,Sutton,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Dec-17,
A2B Aero Ltd,Shoreham By Sea,,,Management,,,,, Skilled Worker,Worker (A rating),4-May-20,
A2Z Cloud Ltd.,Salisbury,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),16-Mar-21,
A2Z Technologies Ltd,Bristol,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),2-Feb-18,
A2Z Trading and Investment Limited,Kidlington,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),13-Aug-19,
A3D2 Ltd,London,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),15-Nov-19,
A4 Holidays T/A Colliford Tavern and Holiday Site,Liskeard,,,Others,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
A4 Trading Limited T/A Flora Indica,London,,,Others,,,,, Skilled Worker,Worker (A rating),27-Nov-20,
AA & EVA LIMITED,LONDON,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),11-Oct-17,
AA Access Partnership Ltd,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AA Dream Factory Ltd,Essex,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
AA Euro Recruitment UK Limited,Liverpool,,,Others,,,,,Skilled Worker,Worker (A rating),23-Mar-21,
AA Kaya Ltd,Market harborough,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
AA KITCHEN KENT LTD T/a Hot and Herbs,Sittingbourne,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),24-May-21,
AA Limited,Basingstoke,,,"Finance,Insurance",,,,,Skilled Worker,Worker (A rating),1-Sep-21,
AA Medical Ltd,Leeds,,,Others,,,,, Skilled Worker,Worker (A rating),1-Apr-19,
AA Plc,Basingstoke,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),15-Jun-20,
AA SPICE LTD T/A HOUSE OF SPICE,Isle Of Wight,,,Others,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
AA Technology Solutions Ltd,Redhill,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),22-May-19,
AAAS Science International inc,Cambridge,,,Others,,,,, Intra-company Routes,Worker (A rating),4-Aug-13,
AAF-Ltd,Cramlington,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AAGSJP Ltd,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),22-Jul-19,
Aahana House,Coulsdon,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
AAK International,Hull,,,Others,,,,, Skilled Worker,Worker (A rating),21-Mar-19,
Aakash Odedra Ltd,Leicester,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),8-Oct-13,
Aalto Capital LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),29-Jul-20,
AAPV Ltd t/a India Red,Nuneaton,,,Others,,,,, Skilled Worker,Worker (A rating),22-May-19,
"AAR International, Inc.",London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Dec-20,
Aardman Animations,Bristol,,,Video or Music Production,,,,," Creative & Sporting, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
Aares Enterprise Ltd,London,,,Real estate,,,,, Skilled Worker,Worker (A rating),13-Jan-20,
AArete UK Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",19-Feb-20,
Aariv Ltd,High Wycombe,,,"IT,Telecommunication",,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Aarjay Heathcare Limited,Hemel Hempstead,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AARK TECH SOLUTIONS LTD,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),12-Jun-20,
Aaro Capital Limited,London,,,"Finance,Insurance",,,,,Skilled Worker,Worker (A rating),18-Feb-21,
AAROHI LIMITED,Slough,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aaron Optometrists Ltd,Ashington,,,Social Work,,,,, Skilled Worker,Worker (A rating),25-May-18,
Aaron Wise Limited,Cardiff,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),10-May-21,
Aarvn IT Ltd,Liverpool,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
AAS Mid-Cap UK Branch,London,,,Others,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",30-Mar-21,
AAS Vets Ltd,Gloucester,,,Vetenary,,,,, Skilled Worker,Worker (A rating),13-Feb-18,
AASEYA SOFTWARE SERVICES (UK)  LTD,HAYES,,,Computer Programming,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",28-Jul-21,
Aashni and Co Limited,Notting Hill,,,Wholesale & Retail,,,,," Creative & Sporting, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",16-May-19,
AASK (Scotland) Ltd,Edinburgh,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),6-Aug-21,
AAVE LIMITED,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),23-Oct-19,
AB Agri Limited,Peterborough,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AB Dental Ltd,London,,,Dental,,,,,Skilled Worker,Worker (A rating),18-Aug-21,
AB Glass (Doors and Windows) Ltd,Swansea,,,Management,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
AB Hotels Limited,St Albans,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),15-Sep-21,
AB InBev UK Ltd,London,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Ab Initio Software Limited,Weybridge,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),7-Feb-17,
AB Mackenzie Solicitors,London,,,Others,,,,, Skilled Worker,Worker (A rating),13-Sep-14,
AB Mauri (UK)Ltd,Peterborough,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Ab Rogers Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),7-Dec-18,
AB World Foods Ltd,Leigh,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Abacus Commercial Cleans LTD,Chesham,,,Others,,,,,Skilled Worker,Worker (A rating),26-Mar-21,
Abacus Information Technology UK Limited,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",27-Mar-18,
Abacus Lease Investment Limited,Westcliff-On-Sea,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),22-Oct-20,
ABACUS PARTNERS (LDN) LLP,LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),5-Mar-15,
Abacus Software Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),24-Oct-13,
ABACUSBIO INTERNATIONAL LIMITED,CITY OF EDINBURGH,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",27-Mar-18,
AbacusNext International Ltd,Edinburgh,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-Oct-18,
ABAS SOLUTIONS LTD,Leeds,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Abax uk ltd,Peterborough,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),15-Dec-17,
ABB Limited,Daresbury,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
ABB Power Grids UK Limited,Stone,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",23-Sep-20,
Abba Father Evangelical Ministry,MILTON KEYNES,,,Others,,,,,T2 Minister of Religion,Worker (A rating),31-Aug-21,
ABBENDON HEALTH CARE LTD T/A ABBENDON NURSING HOME,SOUTHPORT,,,Others,,,,,Skilled Worker,Worker (A rating),28-Apr-21,
Abberley Hall,Worcester,,,Education,,,,, Voluntary Workers,Temporary Worker (A rating),4-Aug-13,
Abbey & Co Associates Ltd,Bolton,,,Legal,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
ABBEY CARE CENTRE LIMITED T/A Bhakti Shyama care Centre,London,,,Others,,,,,Skilled Worker,Worker (A rating),23-Aug-21,
Abbey Healthcare (Cromwell) Ltd,Cambridge,,,Care Home,,,,, Skilled Worker,Worker (A rating),28-Nov-19,
Abbey Healthcare (Hamilton) Ltd,Hamilton,,,Care Home,,,,, Skilled Worker,Worker (A rating),31-Oct-19,
ABBEY LAWNS LTD,England,,,Social Work,,,,,Skilled Worker,Worker (A rating),2-Mar-21,
Abbey Logistics Group Limited,Warrington,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Abbey Meadows Primary School,Cambridge,,,Others,,,,, Skilled Worker,Worker (A rating),21-Mar-15,
ABBEY MEDICAL PRACTICE,Wellingborough,,,Others,,,,, Skilled Worker,Worker (A rating),13-Aug-19,
Abbey Upholsterers Limited,Carrickfergus,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),3-Sep-21,
Abbeycare UK Ltd,Erskine,,,Social Work,,,,,Skilled Worker,Worker (A rating),11-May-21,
Abbeyfield Ballachulish Society Ltd,Ballachulish,,,Others,,,,, Skilled Worker,Worker (A rating),11-May-15,
Abbeyfield Primary Academy,SHEFFIELD,,,Education,,,,,Skilled Worker 8Q2FDR2G3,Worker (A rating),28-May-21,
ABBEY'S HEBBURN VILLAGE LTD,TYNE & WEAR,,,Food & Accomodation,,,,,Skilled Worker XV5YHGV62,Worker (A rating),21-Jun-21,
Abbeyside Nursing Home Limited,Elgin,,,Care Home,,,,, Skilled Worker,Worker (A rating),22-May-19,
Abbingdon Global Limited,Southport,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),29-Apr-21,
Abbots Healthcare Ltd,Abbots Langley,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),7-Feb-18,
Abbotsford Care (Glenrothes) Ltd,KIRKCALDY,,,Medical,,,,,Skilled Worker,Worker (A rating),7-Apr-21,
Abbotskerswell Cricket Club,Abbotskerswell,,,Others,,,,,Creative & Sporting,Temporary Worker (A rating),10-Mar-21,
Abbott Diabetes Care UK Limited,Witney,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Abbott Laboratories Limited,Maidenhead,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Abbott Risk Consulting Ltd,Edinburgh,,,Architecture,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Abbott Solicitors LLP,Luton,,,Others,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Abbott Toxicology Limited,Oxfordshire,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Sep-20,
ABBS INTERNATIONAL SERVICES LTD,London,,,Video or Music Production,,,,,Skilled Worker,Worker (A rating),20-Sep-21,
Abbvie Limited,Maidenhead,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
ABBVL Limited,London,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),26-Sep-17,
ABC International Bank Plc,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
ABC Skip Hire lTD,Walsall,,,"Water,Waste management",,,,, Skilled Worker,Worker (A rating),23-Nov-20,
Abcam plc,Cambridge,,,Scientific Research,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Feb-14,
ABCO Marine Ltd,Lisburn,,,Civil Engineering,,,,, Skilled Worker,Worker (A rating),26-Nov-18,
ABDV2ltd,london,,,Others,,,,,Skilled Worker,Worker (A rating),13-May-21,
"ABeam Consulting Ltd., UK Branch",London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Dec-20,
Abel & Imray,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Abell Chemist Limited,Bushey,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),18-Jun-18,
Abellio London Ltd,London,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Abellio ScotRail Limited,Glasgow,,,Transportation & Storage,,,,,Skilled Worker,Worker (A rating),17-Sep-21,
Aber Soft Limited,Mitcham,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),9-Apr-21,
Abercorn School,London,,,Education,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Abercrombie & Kent Limited,Cheltenham,,,Travel and Tourism,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Abercrombie Dental Practice,Westhill,,,Dental,,,,,Skilled Worker,Worker (A rating),23-Feb-21,
Aberdeen City Council,Aberdeen,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aberdeen Cyrenians Limited,Aberdeen,,,Social Work,,,,,"Skilled Worker,Voluntary Workers","Worker (A rating),Temporary Worker (A rating)",28-Jul-21,
Aberdeen Drilling Management Limited,Aberdeen,,,Mining and Quarrying,,,,, Skilled Worker,Worker (A rating),2-Jan-14,
Aberdeen Drilling School,Aberdeen,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",15-Jul-15,
Aberdeen Football Club,Aberdeen,,,"Arts ,Entertainment",,,,," T2 Sportsperson, Creative & Sporting","Worker (A rating),Temporary Worker (A rating)",4-Aug-13,
Aberdeen Hindu Temple Trust,Aberdeen,,,Religious,,,,, Religious Worker,Temporary Worker (A rating),5-Oct-20,
Aberdeen Laundry Services Limited,Aberdeen,,,Others,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
ABERDEEN PERFORMING ARTS,ABERDEEN,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
Aberdeen Visionplus Limited T/A Specsavers Opticians,Aberdeen,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),30-Jul-21,
Aberdeenshire Council,Aberdeen,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aberdeenshire Cricket Club,Aberdeen,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
Aberdour School Educational Trust,Tadworth,,,Education,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Abergavenny Visionplus Limited TA Abergavenny Specsavers Limited,Abergavenny,,,Others,,,,, Skilled Worker,Worker (A rating),10-Oct-18,
Aberla Utilities Limited,Birchwood,,,Construction,,,,,Skilled Worker,Worker (A rating),26-Aug-21,
Abernethy Trust Ltd,Killin,,,Food & Accomodation,,,,, Voluntary Workers,Temporary Worker (A rating),4-Aug-13,
Abersoch Dental Care,Pwllheli,,,Others,,,,, Skilled Worker,Worker (A rating),1-Apr-19,
Abertay University,Dundee,,,Others,,,,," Government Authorised Exchange, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",31-Jan-20,
Abertridwr Community Church,Caerphilly,,,Others,,,,, Voluntary Workers,Temporary Worker (A rating),27-Jun-16,
Aberystwyth University,Aberystwyth,,,Others,,,,," Government Authorised Exchange, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
ABF Ingredients Limited,Peterborough,,,Management,,,,, Intra-company Routes,Worker (A rating),5-Jul-18,
ABI Research UK Ltd,Wellingborough,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),22-Aug-13,
ABICARE HEALTH SOLUTIONS LTD,Glasgow,,,Medical,,,,, Skilled Worker,Worker (A rating),22-Aug-19,
Abiglobal Foods Ltd,LONDON,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),24-Feb-21,
ABIKE ADE FOUNDATION,London,,,Management,,,,, Creative & Sporting,Temporary Worker (A rating),21-Dec-16,
Ability Housing Association,Staines,,,Real estate,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Abingdon School,Abingdon,,,Education,,,,," Voluntary Workers, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
Abington Park Surgery,Northampton,,,Construction,,,,,Skilled Worker,Worker (A rating),6-Aug-21,
Abingworth LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",1-Nov-18,
Abis Resources Limited,London,,,Real estate,,,,, Skilled Worker,Worker (A rating),4-Aug-16,
ABJ LTD,HENDON,,,Construction,,,,, Skilled Worker,Worker (A rating),27-Mar-18,
ABK CHEF LTD,Newton Abbot,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
ABL Software Limited,Petersfield,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
ABLEGRANGE SEVERN HEIGHTS LTD,WORCESTER,,,Care Home,,,,, Skilled Worker,Worker (A rating),18-Dec-14,
ABLT Group Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),2-Jan-19,
Ably Real-Time Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),10-Jul-18,
ABM Academy,Oldham,,,Others,,,,, Skilled Worker,Worker (A rating),12-Mar-20,
ABM GLOBAL COMPLIANCE (UK) LTD,London,,,Management,,,,, Skilled Worker,Worker (A rating),28-Jul-20,
ABM SOLICITORS,HAYES,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
ABM Tiling Ltd,Cousldon,,,Civil Engineering,,,,,Skilled Worker,Worker (A rating),13-Aug-21,
"ABN AMRO Bank N.V., UK Branch",London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Dec-20,
Abode Architecture Limited,Bury,,,Architecture,,,,, Skilled Worker,Worker (A rating),7-Dec-18,
ABOVE & BEYOND CREATIVE LTD T/AS ABOVE + BEYOND,LONDON,,,"Arts ,Entertainment",,,,, Skilled Worker,Worker (A rating),4-Aug-17,
Above Bar Church,Southampton,,,Religious,,,,," Religious Worker, Voluntary Workers","Temporary Worker (A rating),Temporary Worker (A rating)",4-Aug-13,
Above Surveying Ltd,Colchester,,,Wholesale & Retail,,,,,Skilled Worker BYK1GRNM6,Worker (A rating),15-Jun-21,
ABP (LONDON) INVESTMENT LTD,London,,,Construction,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Jan-14,
ABP Doncaster,Doncaster,,,Others,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
ABP Eatwell,Knowsley,,,Others,,,,, Skilled Worker,Worker (A rating),14-Aug-20,
ABP Langport,Langport,,,Others,,,,, Skilled Worker,Worker (A rating),14-Aug-20,
ABP RESTAURANT LTD t/a Henry Wong,BIRMINGHAM,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
ABP UK,Birmingham,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
ABP Wessex,Northallerton,,,Others,,,,, Skilled Worker,Worker (A rating),14-Aug-20,
ABP Yetminster,Yetminster,,,Others,,,,, Skilled Worker,Worker (A rating),14-Aug-20,
ABPI,London,,,Others,,,,, Skilled Worker,Worker (A rating),28-Jul-20,
ABQ Investment UK Limited,Bournemouth,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),12-Oct-16,
ABRAHAM AND ASSOCIATES,Southend on Sea,,,Legal,,,,, Skilled Worker,Worker (A rating),3-May-14,
ABRAM & CO. LTD,Stockport,,,Legal,,,,,Skilled Worker,Worker (A rating),6-Sep-21,
